name,artist,user_listens,time_range
Weird Fishes / Arpeggi,Radiohead,32,long_term
Eat Your Young,Hozier,31,long_term
O Children,Nick Cave & The Bad Seeds,30,long_term
High and Dry,Radiohead,29,long_term
Praise Jah In The Moonlight,YG Marley,28,long_term
De Selby (Part 1),Hozier,27,long_term
Brothers in Arms,Dire Straits,26,long_term
All Things End,Hozier,25,long_term
2 + 2 = 5,Radiohead,24,long_term
The Adults Are Talking,The Strokes,23,long_term
A Man Without Love,Engelbert Humperdinck,22,long_term
Nobody's Soldier,Hozier,21,long_term
Lotus Flower,Radiohead,20,long_term
Let Down,Radiohead,19,long_term
All I Need,Radiohead,18,long_term
Karma Police,Radiohead,17,long_term
"Lover, You Should've Come Over",Jeff Buckley,16,long_term
Your Rocky Spine,Great Lake Swimmers,15,long_term
Young Folks,Peter Bjorn and John,14,long_term
Everything I Am Is Yours,Villagers,13,long_term
Money for Nothing,Dire Straits,12,long_term
Space Song,Beach House,11,long_term
Adventure of a Lifetime,Coldplay,10,long_term
Ella Baila Sola,Eslabon Armado,9,long_term
Bando,Octomber,8,long_term
"Double Life - From ""Despicable Me 4""",Pharrell Williams,7,long_term
Stockholmsvy,Hannes,6,long_term
FE!N (feat. Playboi Carti),Travis Scott,5,long_term
Northern Attitude (with Hozier),Noah Kahan,4,long_term
Movement,Hozier,3,long_term
The Difference,Flume,2,long_term
Motion Picture Soundtrack,Radiohead,1,long_term
